
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:C3:2A:F8:3A:D3, 2022-11-10 22:46:15, 2022-11-10 22:46:18, 11, 195, WPA2, CCMP, PSK, -72,        4,        0,   0.  0.  0.  0,   3, S07, 
84:1B:5E:7A:A8:39, 2022-11-10 22:46:15, 2022-11-10 22:46:18, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -67,        5,        0,   0.  0.  0.  0,  10, Vienna2022, 
A0:3D:6F:A1:4E:01, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -71,        3,        0,   0.  0.  0.  0,  13, hub_community, 
A0:3D:6F:A1:57:A1, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,  13, hub_community, 
00:D7:8F:58:A6:D0, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -50,        3,        0,   0.  0.  0.  0,   8, hub_team, 
A0:3D:6F:AA:44:E0, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -77,        3,        0,   0.  0.  0.  0,   8, hub_team, 
A6:D7:3C:0D:93:AA, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1,  65, WPA2, CCMP, PSK, -72,        3,        0,   0.  0.  0.  0,  22, DIRECT-3C-EPSON-0D13AA, 
DA:0F:99:86:2A:83, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1,  65, WPA2, CCMP, PSK, -81,        2,        0,   0.  0.  0.  0,  26, DIRECT-83-HP M277 LaserJet, 
A0:3D:6F:AB:BD:11, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  13, hub_community, 
A0:3D:6F:A1:4E:00, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -71,        2,        0,   0.  0.  0.  0,   8, hub_team, 
00:D7:8F:58:A6:D1, 2022-11-10 22:46:15, 2022-11-10 22:46:15,  1, 195, WPA2, CCMP, PSK, -50,        2,        0,   0.  0.  0.  0,  13, hub_community, 
